x,y,cluster
-0.147,-3.737,6
-0.185,-3.737,6
0.157,-3.724,6
-0.306,-3.116,6
-0.481,-2.756,6
-0.365,-3.749,6
-0.143,-3.736,6
-0.183,-3.738,6
-0.196,-3.735,6
-0.306,-3.113,6
-0.314,-3.741,6
-0.567,-2.123,6
-0.563,-2.123,6
-0.277,-3.743,6
-0.417,-3.747,6
-0.292,-3.745,6
-0.434,-3.752,6
-0.247,-3.742,6
-0.303,-3.744,6
-0.41,-3.12,6
-0.49,-3.126,6
-0.171,-3.738,6
-0.206,-3.744,6
-0.363,-3.119,6
-0.615,-2.13,6
-0.391,-3.75,6
-0.615,-1.494,6
0.967,-3.674,6
0.642,-3.057,6
0.333,-3.706,6
0.046,-3.724,6
-0.011,-3.73,6
-0.14,-3.734,6
0.327,-3.708,6
-0.11,-3.736,6
0.233,-3.716,6
0.411,-3.708,6
-0.165,-3.738,6
0.503,-3.07,6
-0.004,-3.739,6
-0.576,-2.129,6
-0.704,-2.135,6
-0.432,-2.493,6
-0.525,-3.128,6
-0.166,-3.738,6
-0.662,-2.764,6
-0.242,-2.115,6
-0.104,-3.736,6
-0.419,-3.754,6
0.131,-3.723,6
-0.284,-3.116,6
-0.337,-3.75,6
-0.512,-3.127,6
-0.451,-3.122,6
-0.464,-3.753,6
-0.279,-3.112,6
-0.359,-3.748,6
-0.336,-3.118,6
-0.541,-1.497,6
-0.375,-3.12,6
-0.433,-2.493,6
-0.789,-1.509,6
-0.597,-2.762,6
-0.546,-3.758,6
-0.299,-3.113,6
-0.285,-3.743,6
-0.564,-3.128,6
-0.517,-3.757,6
-0.327,-3.117,6
-0.339,-3.749,6
-0.323,-3.116,6
-0.255,-3.115,6
0.084,-3.107,6
-0.274,-1.492,6
-0.336,-1.495,6
-0.254,-3.744,6
-0.407,-3.752,6
-0.417,-3.752,6
0.086,-3.734,6
0.154,-3.731,6
0.193,-3.729,6
0.234,-3.727,6
0.139,-3.732,6
0.133,-3.731,6
-0.201,-2.113,6
-0.762,-1.507,6
0.092,-3.724,6
0.03,-3.737,6
0.038,-3.73,6
0.139,-3.723,6
0.257,-3.727,6
0.338,-3.085,6
0.45,-3.711,6
0.252,-3.722,6
-0.374,-2.116,6
0.094,-3.725,6
-0.004,-3.73,6
0.09,-3.728,6
0.097,-3.724,6
0.121,-3.725,6
0.123,-3.725,6
0.107,-3.724,6
0.074,-3.095,6
0.173,-3.722,6
0.164,-3.721,6
0.02,-3.729,6
0.115,-3.726,6
0.014,-3.728,6
-0.418,-3.752,6
-0.127,-3.739,6
-0.196,-3.743,6
-0.015,-3.733,6
0.254,-3.72,6
-0.083,-3.739,6
-0.509,-3.758,6
-0.022,-3.101,6
-0.123,-2.11,6
4.545,-1.33,6
1.634,-3.134,6
2.059,-3.092,6
3.591,-3.029,6
4.105,-0.738,6
1.714,-3.134,6
1.295,-2.129,6
1.593,-1.851,6
1.988,-3.096,6
1.844,-3.097,6
1.844,-3.097,6
2.103,-3.087,6
2.058,-3.088,6
1.848,-2.469,6
1.604,-3.111,6
1.787,-3.102,6
1.387,-3.127,6
1.388,-3.133,6
1.382,-3.153,6
2.241,-1.475,6
1.744,-3.144,6
1.548,-3.157,6
2.072,-2.491,6
2.202,-3.115,6
1.671,-2.503,6
1.517,-3.141,6
0.233,-3.088,6
-0.071,-3.1,6
-0.234,-3.741,6
-0.375,-3.119,6
-0.18,-3.741,6
-0.32,-3.117,6
-0.407,-3.123,6
-0.232,-3.112,6
-0.179,-2.478,6
0.12,-3.724,6
0.16,-3.718,6
0.7,-3.689,6
0.646,-3.064,6
0.573,-3.068,6
0.568,-3.701,6
-0.257,-3.742,6
-0.217,-3.112,6
-0.229,-3.743,6
-0.221,-3.112,6
0.045,-3.098,6
-0.246,-3.745,6
-0.155,-3.108,6
-0.056,-3.103,6
-0.106,-3.106,6
-0.177,-3.11,6
2.651,-2.941,6
2.245,-2.98,6
2.508,-2.341,6
-0.7,-2.134,6
-0.493,-3.125,6
-0.376,-3.749,6
-0.341,-3.747,6
0.004,-3.719,6
0.863,-3.672,6
0.332,-3.702,6
0.26,-3.076,6
0.341,-3.702,6
0.623,-3.697,6
0.401,-3.71,6
0.898,-3.683,6
0.665,-3.064,6
2.043,-3.619,6
-0.789,-1.509,6
-0.565,-2.5,6
-0.463,-3.754,6
-0.497,-3.757,6
-0.718,-2.506,6
-0.657,-2.505,6
-0.353,-3.75,6
-0.375,-3.753,6
-0.417,-3.754,6
-0.472,-2.498,6
-0.097,-3.741,6
-0.391,-3.753,6
-0.358,-3.75,6
-0.337,-3.119,6
-0.218,-3.113,6
-0.385,-3.123,6
-0.186,-3.113,6
0.312,-3.723,6
0.27,-3.726,6
0.266,-3.729,6
-0.246,-3.745,6
-0.303,-3.747,6
0.029,-3.1,6
0.274,-3.085,6
0.245,-3.716,6
-0.349,-3.119,6
0.208,-3.089,6
0.041,-1.051,6
0.247,-1.041,6
0.044,-1.051,6
0.071,-1.048,6
0.032,-0.418,6
0.009,-1.053,6
-0.016,-1.055,6
-0.047,-1.058,6
-0.04,-0.425,6
-0.112,-1.47,6
0.217,-3.718,6
0.195,-3.717,6
0.175,-3.719,6
0.345,-3.713,6
0.382,-3.711,6
0.106,-3.721,6
0.194,-3.716,6
-0.012,-3.732,6
-0.082,-3.736,6
-0.263,-3.742,6
-0.221,-3.741,6
-0.195,-3.74,6
0.534,-3.699,6
-0.323,-3.746,6
-0.334,-3.747,6
-0.362,-3.748,6
-0.312,-3.114,6
-0.164,-3.737,6
0.17,-3.719,6
0.34,-3.71,6
0.12,-3.722,6
-0.044,-3.735,6
0.065,-3.729,6
-0.306,-1.486,6
-0.107,-2.105,6
-0.034,-3.729,6
0.047,-3.725,6
-0.072,-3.73,6
0.058,-3.724,6
-0.051,-3.729,6
-0.02,-3.73,6
0.116,-3.726,6
0.034,-3.729,6
0.036,-3.729,6
-0.108,-3.731,6
-0.141,-3.732,6
-0.06,-3.732,6
-0.06,-3.73,6
0.129,-3.725,6
0.146,-3.724,6
0.073,-3.728,6
0.053,-3.729,6
-0.055,-3.734,6
0.103,-3.097,6
-0.272,-3.747,6
0.184,-3.722,6
7.295,-2.161,6
7.618,-2.777,6
7.667,-2.784,6
-0.774,-1.508,6
-0.077,-3.107,6
-0.258,-3.744,6
-0.539,-3.127,6
0.019,-3.102,6
-0.35,-3.12,6
-0.25,-3.75,6
0.111,-3.727,6
0.187,-3.721,6
0.385,-3.713,6
0.223,-3.717,6
0.306,-3.713,6
0.289,-3.714,6
