x,y,cluster
-0.948,2.769,1
-1.096,2.759,1
-1.133,2.757,1
-1.062,2.76,1
-1.042,2.131,1
-1.056,2.13,1
-1.013,2.132,1
-0.986,2.134,1
-0.424,-1.738,1
-0.163,-1.726,1
-0.669,0.602,1
-0.617,-0.025,1
-1.069,2.129,1
-0.85,0.593,1
-0.697,0.511,1
-0.893,2.138,1
-0.96,2.765,1
-0.894,2.138,1
-0.967,2.134,1
-0.783,1.138,1
-0.969,2.134,1
-0.36,-1.731,1
-0.648,-0.652,1
-0.463,-1.736,1
-0.326,-1.731,1
-0.813,1.227,1
-0.949,2.138,1
-0.978,2.137,1
-0.938,2.139,1
-0.825,1.136,1
-0.9,1.763,1
-0.889,2.14,1
-0.728,1.141,1
-0.555,-0.023,1
-0.611,0.516,1
-0.773,1.138,1
-0.67,0.513,1
-0.989,2.133,1
-0.96,2.134,1
-0.993,2.132,1
-0.973,2.134,1
-0.96,2.134,1
-0.785,0.596,1
-0.922,2.764,1
-1.024,2.764,1
-1.06,2.13,1
-1.034,2.762,1
-1.093,2.758,1
-0.951,2.136,1
-0.774,0.506,1
-0.769,1.14,1
-1.097,2.758,1
-1.051,2.13,1
-0.998,2.133,1
-0.932,1.506,1
-0.97,2.135,1
-0.953,2.136,1
-1.037,2.131,1
-0.951,2.136,1
-0.962,2.136,1
-0.779,0.597,1
-1.022,2.763,1
-0.96,2.136,1
-0.835,1.225,1
-1.027,2.763,1
-0.833,1.225,1
-0.967,2.135,1
-1.022,2.764,1
-1.02,2.132,1
-1.095,2.759,1
-1.08,2.76,1
-1.007,2.133,1
-1.025,2.763,1
-1.053,2.761,1
0.579,0.048,1
-1.097,2.759,1
-1.032,2.131,1
-0.247,1.17,1
-0.102,1.18,1
-0.107,0.546,1
-0.019,2.189,1
-0.773,1.769,1
-0.095,1.83,1
-0.86,1.135,1
-0.743,0.51,1
-0.856,1.135,1
-0.924,1.762,1
-0.757,1.143,1
-0.806,1.771,1
-0.75,1.143,1
-0.688,0.516,1
-0.383,2.665,1
-0.193,1.67,1
-0.22,2.299,1
-0.261,2.297,1
-0.262,2.297,1
-0.221,2.299,1
-0.241,2.298,1
-0.247,2.298,1
-0.214,1.757,1
-0.241,2.298,1
-0.161,1.129,1
-0.158,1.129,1
-0.445,3.293,1
-0.186,1.67,1
-0.376,2.666,1
-0.325,2.668,1
-0.409,3.295,1
-0.408,3.295,1
-0.346,2.667,1
-0.344,2.667,1
-0.412,3.295,1
-0.334,2.668,1
-0.402,3.295,1
-0.419,3.294,1
-0.414,3.294,1
-0.407,3.294,1
-0.394,3.296,1
-0.407,3.294,1
-0.405,3.295,1
-0.407,3.294,1
-0.394,3.295,1
-0.254,1.671,1
-0.332,2.667,1
-0.416,3.294,1
-0.422,3.293,1
-0.142,1.672,1
-0.347,2.666,1
-0.35,2.666,1
-0.295,2.67,1
-0.396,3.295,1
-0.42,3.294,1
-0.431,3.294,1
-0.383,3.296,1
-0.252,2.298,1
-0.435,3.293,1
-0.425,3.294,1
-0.397,3.296,1
-0.362,3.297,1
-0.398,3.295,1
-0.399,3.295,1
-0.397,3.295,1
-0.433,3.294,1
-0.369,2.666,1
-0.415,3.294,1
-0.396,3.295,1
-0.428,3.294,1
-0.436,3.293,1
-0.366,2.666,1
-0.147,1.038,1
-0.436,3.293,1
-0.179,1.671,1
-0.149,1.038,1
-0.385,3.296,1
-0.413,3.295,1
-0.428,3.294,1
-0.423,3.294,1
-0.172,1.671,1
-0.422,3.294,1
-0.426,3.294,1
-0.176,1.671,1
-0.436,3.294,1
-0.178,1.671,1
-0.198,1.67,1
-0.433,3.294,1
-0.091,0.411,1
-0.343,2.668,1
-0.088,0.411,1
-0.146,1.673,1
-0.105,0.41,1
-0.163,1.038,1
-0.113,0.409,1
-0.131,1.039,1
-0.094,0.41,1
-0.153,1.038,1
-0.405,3.294,1
-0.142,1.672,1
-0.14,1.038,1
-0.406,3.295,1
-0.16,1.037,1
-0.412,3.294,1
-0.414,3.294,1
-0.408,3.295,1
-0.408,3.294,1
-0.416,3.294,1
-0.42,3.294,1
-0.122,1.131,1
-0.087,1.134,1
-0.121,1.761,1
-0.174,2.3,1
-0.365,3.297,1
-0.349,3.297,1
-0.14,1.761,1
-0.171,1.674,1
-0.368,3.296,1
-0.872,1.134,1
-0.865,0.592,1
-0.667,0.606,1
-0.799,0.596,1
-1.07,2.129,1
-0.87,0.592,1
-0.735,0.598,1
-0.703,0.513,1
-0.876,0.592,1
-0.935,1.762,1
-0.968,2.135,1
-1.069,2.129,1
-1.05,2.13,1
-1.123,2.757,1
-1.056,2.13,1
-1.05,2.13,1
-1.102,2.758,1
-1.05,2.13,1
-0.794,1.768,1
-0.737,0.598,1
-1.117,2.757,1
-1.085,2.759,1
-0.865,1.135,1
-0.879,0.591,1
-1.071,2.76,1
-1.119,2.215,1
-1.123,2.757,1
-1.094,2.759,1
-0.392,0.613,1
-0.673,-0.66,1
-0.862,0.875,1
-0.633,-1.287,1
-0.45,-1.111,1
-0.864,0.592,1
-0.804,-0.665,1
-1.129,2.757,1
-1.061,2.13,1
-1.063,2.129,1
-1.068,2.129,1
-0.867,0.592,1
-0.792,-0.035,1
-0.712,-0.031,1
-1.029,2.131,1
-0.826,0.594,1
-1.02,2.132,1
-0.984,2.136,1
-0.861,0.592,1
-1.122,2.757,1
-1.117,2.758,1
-1.06,2.13,1
-1.055,2.13,1
-1.037,2.131,1
-1.129,2.757,1
-1.115,2.758,1
-1.047,2.131,1
-1.048,2.13,1
-1.12,2.757,1
-1.128,2.757,1
-0.918,1.22,1
-1.049,2.131,1
-1.115,2.758,1
-1.12,2.757,1
-1.119,2.757,1
-1.069,2.129,1
-0.87,1.135,1
-1.109,2.758,1
-1.041,2.131,1
-1.109,2.758,1
-1.109,2.758,1
-1.048,2.131,1
-1.063,2.129,1
-1.117,2.758,1
-0.981,1.503,1
-1.049,2.13,1
-1.125,2.757,1
-0.861,0.592,1
-1.055,2.13,1
-1.123,2.757,1
-1.131,2.757,1
-1.12,2.757,1
-0.924,2.767,1
-0.578,-1.284,1
-0.511,-0.022,1
-1.059,2.13,1
-0.97,0.958,1
-1.069,2.129,1
-1.065,2.129,1
-0.54,2.147,1
-0.335,1.152,1
-0.214,0.616,1
-0.386,-0.02,1
-0.326,0.619,1
-0.736,0.6,1
-0.399,1.779,1
-0.494,-0.02,1
-0.74,0.51,1
-0.795,0.507,1
-0.787,0.508,1
-0.783,0.508,1
-1.051,2.13,1
-1.053,2.13,1
-1.057,2.13,1
-0.737,0.511,1
-0.852,1.135,1
-0.8,0.507,1
-1.116,2.758,1
-0.146,0.536,1
-0.262,1.16,1
-0.486,2.785,1
-0.215,0.626,1
0.15,0.636,1
0.115,1.177,1
-0.86,0.592,1
-0.508,1.148,1
-0.376,-0.647,1
-0.492,2.779,1
-0.843,0.593,1
-0.869,0.592,1
-0.922,1.762,1
-0.764,1.14,1
-0.773,0.508,1
-0.845,1.135,1
-0.905,1.221,1
-0.917,1.762,1
-0.828,1.136,1
-0.854,1.135,1
-0.849,1.136,1
-0.85,1.136,1
-0.848,1.136,1
-0.847,1.136,1
-0.837,1.136,1
-0.835,1.136,1
-0.917,1.763,1
-0.831,0.594,1
-1.057,2.13,1
-1.056,2.13,1
-0.878,1.223,1
-0.879,1.223,1
-0.732,-0.032,1
-0.881,1.223,1
-1.096,2.758,1
5.439,1.889,1
3.068,0.715,1
2.376,1.278,1
2.444,0.651,1
1.011,1.762,1
0.246,1.784,1
0.045,1.055,1
0.071,1.056,1
-0.083,1.683,1
-0.047,2.053,1
-0.204,3.307,1
0.334,1.704,1
0.057,1.685,1
0.105,1.694,1
-0.18,3.314,1
0.154,1.064,1
0.299,1.074,1
-0.031,2.692,1
0.267,1.703,1
1.287,2.764,1
1.512,1.771,1
0.814,2.119,1
0.964,1.12,1
0.598,2.104,1
0.944,1.118,1
0.927,1.118,1
0.882,1.747,1
0.879,1.113,1
0.679,0.56,1
0.672,1.102,1
0.308,2.714,1
0.384,1.718,1
0.388,1.079,1
0.633,1.099,1
0.53,1.087,1
0.465,1.084,1
0.243,2.708,1
0.462,1.716,1
0.322,1.076,1
0.619,1.099,1
0.52,1.092,1
0.202,3.342,1
0.265,2.715,1
0.468,1.719,1
0.286,2.717,1
0.458,1.719,1
0.284,2.715,1
