x,y,cluster
-0.086,-0.365,2
-0.024,-0.993,2
-0.101,-0.997,2
-0.367,-0.382,2
-0.064,-0.996,2
-0.036,-0.99,2
-0.469,-1.016,2
-0.306,-1.01,2
-0.336,-1.011,2
-0.029,-0.992,2
-0.238,-1.0,2
-0.18,-1.001,2
-0.101,-0.992,2
0.19,-0.978,2
-0.162,-0.999,2
-0.164,-1.002,2
-0.595,-0.396,2
-0.486,-1.022,2
-0.566,-0.395,2
-0.098,-0.369,2
-0.514,-0.391,2
-0.478,-0.392,2
-0.439,-1.019,2
-0.586,-0.395,2
-0.54,-0.391,2
-0.471,-0.388,2
-0.342,-1.012,2
-0.496,-0.389,2
-0.467,-0.386,2
-0.601,-0.395,2
-0.612,-0.396,2
-0.601,-0.394,2
-0.466,-1.019,2
-0.359,-1.012,2
-0.279,-1.007,2
-0.357,-0.38,2
-0.399,-0.383,2
-0.456,-0.388,2
-0.521,-1.022,2
-0.452,-1.018,2
-0.649,-0.398,2
-0.574,-1.025,2
-0.525,-1.017,2
-0.535,-0.388,2
-0.468,-1.015,2
-0.392,-1.01,2
-0.517,-1.018,2
-0.44,-0.384,2
-0.373,-1.011,2
-0.385,-1.011,2
-0.401,-1.015,2
-0.52,-0.39,2
-0.412,-1.013,2
-0.367,-1.013,2
-0.412,-0.384,2
-0.386,-1.012,2
-0.558,-0.391,2
-0.337,-1.012,2
-0.479,-0.384,2
-0.443,-1.013,2
-0.458,-1.012,2
-0.127,-0.997,2
-0.343,-1.01,2
-0.457,-1.015,2
-0.116,-0.996,2
-0.254,-1.004,2
-0.43,-1.012,2
-0.383,-1.009,2
-0.489,-1.019,2
-0.444,-1.017,2
-0.465,-1.018,2
-0.415,-1.015,2
-0.354,-1.011,2
-0.627,-1.026,2
-0.558,-1.022,2
-0.54,-0.39,2
-0.421,-0.384,2
-0.365,-1.012,2
-0.461,-1.016,2
-0.49,-1.018,2
-0.574,-1.024,2
-0.352,-1.01,2
-0.469,-0.387,2
